id,x,y,deg
009_4,s-0.21820839415214799,s0.12898429120995900,s249.88481794376707512
009_5,s-0.56173968982137501,s-0.08821445795418099,s204.79373963675016057
009_6,s0.66714727344038605,s-0.04788721346825200,s336.37062237707687018
009_7,s0.18717062150452099,s0.36440946304256400,s293.62937760144291133
009_8,s0.39112037538399202,s-0.86156058937009095,s113.62937773190213875
010_0,s0.18801237243793101,s0.39546835295058663,s290.15041761234869000
010_1,s0.64515621563871495,s-1.00307326417759524,s338.60591543955257521
010_2,s-0.61439181714922519,s-0.08875976004279701,s21.40063089781424921
010_3,s0.23251493069500165,s-0.53141043648473507,s292.60823454842062574
010_4,s-0.20248011084157364,s-0.53549815915118804,s70.42162225570865530
010_5,s-0.64900187022224021,s-0.98749091529165001,s23.62937522784216071
010_6,s-0.23686986682169911,s0.40307326419850692,s66.34583557344278404
010_7,s0.64900187022250933,s-0.03075027342921570,s336.26254158430134567
010_8,s0.15359416816947033,s-0.87149887430561546,s115.55895109664928100
010_9,s-0.16571382024135248,s0.06703740169441159,s246.34591141692942529
011_0,s-0.74873665653035903,s-0.01313007422104200,s23.69164698244082956
011_1,s0.74927074570197705,s0.38898000286116802,s70.76773971761053872
011_2,s0.07534433582372400,s-0.35541173150486399,s248.22256115099708040
011_3,s-0.10785109514741500,s-0.97647834661986599,s293.68914629389655602
011_4,s-0.39019628032076997,s-0.37371599768746000,s332.09952608869571122
011_5,s-0.74953301393659899,s-0.43925344216376400,s156.37062227269120740
011_6,s-0.36880726389587998,s-0.92876295430338496,s118.75008744919239234
011_7,s-0.27602518093118100,s0.39213559005677601,s69.25645064150330654
011_8,s0.60433333634515896,s-0.04971076799574500,s206.62188673477271550
011_9,s0.27020661810340701,s0.00720548213605400,s27.08881240526824286
011_10,s0.74953301393574401,s-0.99213559005672902,s113.68914628587452853
012_0,s-0.74114856949384622,s-0.32706436463979516,s333.02472795120377214
012_1,s-0.69018465100704141,s0.54465961932517637,s153.02472677509925347
012_2,s-0.71876912717714381,s-0.63114898159028354,s155.29947898041118037
012_3,s0.28328637943426016,s0.07003051002530064,s116.90655117185632150
012_4,s-0.10906584659191812,s0.54340694437784343,s161.07459544781394811
012_5,s0.03111674397380071,s-1.04332627925818877,s295.98910589031532936
012_6,s0.66838447892748809,s-0.39763114063271460,s114.40513465475046928
012_7,s0.34309378084887177,s0.40555725505930673,s296.05310971458555969
012_8,s-0.33816098142080614,s-0.58240282130833665,s296.90654872098394890
012_9,s0.73217235926291480,s-0.07121288513502547,s340.35669615738822813
012_10,s0.74114856963286058,s-1.14465961932802385,s336.37062243165360087
012_11,s-0.21438877683284113,s-0.99613471599636361,s115.98910379221914013
013_0,s0.33304696657278587,s-1.07644247047025354,s246.37062247677340565
013_1,s-0.75379357071724362,s-0.00937233795774108,s154.34586457658178915
013_2,s0.05689594785615510,s0.46910133186517056,s294.66477478093656828
013_3,s-0.02710374807022828,s-0.73787476798498774,s295.74901183899328316
013_4,s-0.22130435473023707,s-0.35788581360414040,s109.19207817016047102
013_5,s0.77087615585488700,s-0.62172377275219914,s199.93606764615947213
013_6,s0.88685082666423543,s0.43818221368496618,s114.66477476062902952
013_7,s-0.10016179784587100,s-1.07644063317254002,s113.62952142232802544
013_8,s-0.07025516530738879,s-0.14704362556917222,s286.14075953135898089
013_9,s0.88640438353243178,s-0.12414399886345807,s108.78066813299381010
013_10,s-0.88685082666424897,s-0.98606120512435069,s293.62952144222640527
013_11,s-0.41449094382784868,s0.06693718624250285,s336.92774405733734966
013_12,s-0.88655367652331485,s0.47644247047058069,s291.11278233338680366
014_0,s0.19255596821031618,s-1.22330320355004507,s331.12740139574316345
014_1,s0.35731523158120082,s0.53229287000791980,s293.24239540769735868
014_2,s0.83320447848632984,s0.11329735836806865,s336.37062226960824773
014_3,s-0.83320447845941858,s0.64059524854930361,s156.37062228031231825
014_4,s-0.05564585692335571,s0.23605207597351513,s256.08490188422410938
014_5,s-0.74660056505951855,s-0.44594679360567541,s241.12598354531598943
014_6,s-0.21661437575897333,s-0.13522413847244358,s202.33190809232996799
014_7,s0.81945948362835963,s-1.24059524854930348,s17.17083741425085464
014_8,s-0.83320447848633006,s-1.24053808379085240,s23.62937773039789136
014_9,s-0.15015387409723013,s-1.11997719926585337,s61.12598354520201838
014_10,s-0.52448933782765783,s0.13574115077089485,s128.12063373981743553
014_11,s0.82863375477983192,s-0.31249403534349240,s201.68698371967070671
014_12,s0.39617587879034105,s-0.21834259709447151,s157.39428713720349151
014_13,s-0.46592496959474461,s0.44084198853737666,s301.08490188448354274
015_0,s-0.31472888739022792,s-0.70001876859206158,s200.73899264866554404
015_1,s-0.77839346077503802,s0.17499693846271300,s148.68058207700971707
015_2,s0.17883947645024681,s-1.08001245040548555,s293.97860011023090010
015_3,s0.97663234431658896,s-1.15616102069516913,s114.17213319885117073
015_4,s-0.72195696060681558,s-1.17182583823838016,s246.37062225880796973
015_5,s0.97742854929619261,s0.56928121015790101,s113.62937623564039313
015_6,s0.10665207774930018,s0.57182583823838007,s293.62937792790398817
015_7,s-0.45008912690195457,s0.20942487388377082,s328.62962258957963968
015_8,s-0.87357241232408622,s-0.64871026793714859,s156.36961362874603765
015_9,s0.53793708831175480,s-0.41485757829935233,s234.68441928319384715
015_10,s0.10541227351624004,s-0.56107074654995404,s9.18523657497053136
015_11,s0.87006634107957204,s0.08570402224543122,s203.62937047539094237
015_12,s0.49989732072680210,s-0.11091521229457527,s48.68598209695710466
015_13,s-0.97743222185597478,s0.53781042635711918,s292.54144745447854348
015_14,s-0.28898880617486644,s-0.17728730322322472,s107.55790582759925655
016_0,s0.10942675292656399,s-1.14174969546222904,s246.91723747563992220
016_1,s-0.14167344304688101,s-0.01391066590291300,s67.90401826464005808
016_2,s0.14167204076888201,s-0.58608810073508799,s247.90405438463994869
016_3,s1.00905260387200602,s-0.55725602000106100,s67.90405439864002801
016_4,s-0.10942626384556201,s0.54175190828522801,s66.91742479564004498
016_5,s0.13337527583723199,s0.60133656547480596,s246.91928307453986235
016_6,s-1.00992762124199409,s0.60134101520181704,s246.91742479463982818
016_7,s-0.13337650177822999,s-1.20133515391481605,s66.91968648564005662
016_8,s-0.10006308963622799,s-0.64983994753676100,s67.90416339564006876
016_9,s0.10006188480623000,s0.04984119921876000,s247.90418953563994364
016_10,s1.00979703471334803,s-0.01396137847053600,s67.90466039364002881
016_11,s-1.00979706453234996,s-0.58604053624746499,s247.90466849563995311
016_12,s1.00992762124199409,s-1.20134101520181802,s66.91723748564004381
016_13,s-1.00905399099100501,s-0.04274223233693900,s247.90401825363983335
016_14,s1.00991937538501797,s0.60133791806210202,s66.91761428601387252
016_15,s-1.00992736672170591,s-1.20133693170245603,s246.91885500647140361
017_0,s-0.93655027445582795,s-1.34452113065752799,s23.62937773052931334
017_1,s0.19742947850421300,s-1.10477747570126095,s235.50768672831964068
017_2,s-0.11218618920561001,s-1.23715894225594303,s113.62937743644829425
017_3,s-0.49963745781783397,s-0.17288111723502900,s343.98745455374307767
017_4,s-0.47173251095780699,s-0.92458251362446997,s69.59872519663326784
017_5,s-1.04360587048605002,s-0.31199793481408400,s249.30563356617597037
017_6,s0.75652783625204301,s-0.21020562555396299,s30.83875868650562779
017_7,s1.04360587048605002,s-1.25173059651575991,s55.50768672832390394
017_8,s0.92922995591508395,s-0.71479162735668500,s336.32197453928711184
017_9,s-0.88902251631940099,s0.12920111000880299,s24.30977521028592037
017_10,s-0.09251633963661300,s-0.32023218736355902,s174.81799635520371794
017_11,s0.45526374247359502,s0.62516744249833500,s291.72390947505061831
017_12,s0.52343951528422095,s-0.47115020393204199,s129.59247411520857440
017_13,s0.93026341228753096,s0.21738394063482200,s336.37062226979651314
017_14,s-0.52427947375418105,s0.62965474375851604,s66.37062226865032244
017_15,s0.16080164845554401,s-0.14146376925901699,s354.98693183503303317
017_16,s-0.04824974106389700,s0.74452113065752801,s174.98693183503382897
018_0,s-0.36090064888624834,s0.22462467055139365,s120.86317063555469531
018_1,s-0.96162270343704814,s0.24858932676617840,s20.78042374722446084
018_2,s-0.43165253648363083,s-0.39168190098973515,s77.75483418899483468
018_3,s0.41796072361444420,s0.47963075730260202,s118.61492302033076385
018_4,s1.07556193608098094,s-0.31172401522745596,s117.59103247427862016
018_5,s-0.19053713252484422,s-0.22978963181083373,s258.76608481693301655
018_6,s-0.24510987259729736,s0.58950676033142713,s304.43517126111032667
018_7,s0.96689888443648764,s-1.32123041025806942,s336.37062226937314335
018_8,s-0.55592894769300805,s0.72123041025842405,s66.37062226932027897
018_9,s0.92194485185373098,s0.19443308070658538,s334.40000370207735614
018_10,s-0.57071046356639477,s-0.90513781732754650,s218.11886274816674813
018_11,s0.45787549534578659,s-0.98498443138163128,s293.29343385279253198
018_12,s-0.10330890345601797,s-0.85204886259460466,s304.92826158204422882
018_13,s0.54569823917273386,s0.71732354815295296,s291.97924448824699084
018_14,s0.06433029268975830,s-1.21386820661296402,s246.37062878905078378
018_15,s-1.07556193608098494,s-1.21386822257550864,s246.37062226933664988
018_16,s0.67695457426257077,s-0.06423631702094319,s78.76608481693119757
018_17,s-0.85883655564939332,s-0.84407223873541293,s32.51516549426730762
019_0,s-0.79754246963146103,s0.17766284176488401,s336.79736239427211331
019_1,s0.49577608767332998,s-1.27244678054776794,s244.92832330677447317
019_2,s-0.63518100019145796,s-1.19831558145561301,s238.90784008759806056
019_3,s-1.00231701115588190,s-0.22520003532865099,s23.62937796825989167
019_4,s0.66478428766549402,s-0.81686874156371403,s67.94695567316119877
019_5,s-0.33741189302404900,s-0.61465812984641199,s238.90780504916187965
019_6,s-0.59444992274741704,s-0.36329504785195499,s327.67783582269566978
019_7,s1.00282163023888193,s-0.46578762414368702,s336.37062017095354349
019_8,s0.59912987197970202,s-0.33866640474217002,s35.87437208130467070
019_9,s0.98940224072628602,s-0.88454127251004799,s204.68271979980886499
019_10,s1.11004547884707305,s0.71242953273170895,s67.16563188297283205
019_11,s0.23063522326065899,s-1.31173052398540690,s58.90780455845263219
019_12,s-0.14870234167948601,s0.79815314091803102,s154.76761100634348622
019_13,s0.23385976474121201,s0.68465410990778997,s208.42684185881216763
019_14,s-0.69362640412628995,s-0.89307095489578803,s51.87643266678281861
019_15,s-1.00231459962990499,s-1.39815554025079503,s23.62872745611821301
019_16,s0.00226940198674600,s-0.31496280838881902,s359.99178593448095853
019_17,s0.90777471122303599,s0.09828774120763900,s28.42683915500555258
019_18,s-1.11004547884700999,s0.69555401616961499,s295.10685746282661057
020_0,s0.60852749334583101,s0.68719875049192802,s63.73599252611973043
020_1,s-1.02914996600601105,s-0.51920141034756695,s156.37062620711446925
020_2,s-1.01656307452480110,s-0.09995938844795400,s24.61712057458095160
020_3,s-0.29050579758281497,s-1.42762143663757590,s329.52403696712815417
020_4,s-0.64366945009672605,s-0.47554089073719702,s250.58685437182964506
020_5,s0.33879441352510598,s0.26500261397788200,s84.51950218658885206
020_6,s-1.13628789056007196,s-1.37025173697680303,s251.04069776933772573
020_7,s0.46821671882156302,s-0.92869789287787796,s20.76710020182565586
020_8,s1.05410367017763296,s-0.13642300883477501,s202.86391242066395080
020_9,s-0.45682680504016299,s-0.00814455593734600,s33.08679562398782537
020_10,s0.67091030873272095,s0.35187869708841002,s244.44774952586601557
020_11,s-0.78275746065839003,s-1.06435860462691201,s292.32178246003820732
020_12,s1.13587936853751592,s-1.37488047554258896,s114.07795768915738677
020_13,s-0.16459536694427801,s-0.09269177897293800,s206.75503491282154300
020_14,s0.15739166767193299,s-1.35882499027653503,s281.93095263601037459
020_15,s1.06345002353889395,s0.82762143662201904,s199.84544372197217399
020_16,s-0.44891328682431803,s0.69416197162604099,s262.54709188042136248
020_17,s-1.13645464277172703,s0.72055002559423498,s293.62937816354121878
020_18,s1.07002582138884295,s-1.02139896612628500,s22.80581575410207051
020_19,s0.46633698169645699,s-0.03610210139604700,s200.76710108793179188
021_0,s1.08799577322009910,s-1.02927186818198702,s42.93951109879185424
021_1,s-0.71811699511444105,s-0.95824616213031799,s199.62950755283759463
021_2,s-0.29784831921065502,s-0.84439853124286002,s357.64231253542016020
021_3,s1.16806387019381308,s-1.40596285174029800,s113.62937793828120903
021_4,s-0.65340696717433500,s0.76439343833480300,s293.62931292021448826
021_5,s-0.04207903701341800,s0.18808488005925500,s185.56122195643365558
021_6,s1.03567954429182008,s0.36358677134723999,s334.39931869163780220
021_7,s0.16257728156220599,s-0.61352116902015197,s177.58056858566533265
021_8,s-0.27093949705380199,s-1.37652721954185497,s246.16952796460691388
021_9,s0.27273315747987098,s0.79321228123194099,s123.50701049395343034
021_10,s1.06070089540311496,s-0.49181705225031602,s336.37056066147033562
021_11,s0.33167506191067297,s-0.27459471068365598,s284.91832390510086270
021_12,s0.39249808408426501,s0.35443641851004398,s238.42176235215956126
021_13,s-1.10965478770784309,s-0.62858166562134699,s156.37062260309767225
021_14,s-0.82625299127807805,s-0.51942298718243196,s315.65832717468401825
021_15,s0.54761968866239896,s0.75755874386283995,s294.16317157599019083
021_16,s-0.45659216667670199,s0.39338294465289098,s146.12681331783676342
021_17,s-1.16806387019953006,s-1.40596285488695694,s246.37062211733501726
021_18,s-1.10803833756652992,s-0.07013218328234801,s23.75580334630700463
021_19,s0.53379488209293102,s-1.30920136055525904,s357.58056915106385532
021_20,s-1.11125032520652001,s0.80596285488210095,s204.27278274106856770
022_0,s-0.26950927079088499,s-0.31633970582756099,s189.01297569236245977
022_1,s0.31137531433418802,s-1.41597978360255095,s113.62937766118035654
022_2,s0.15161125661883701,s0.77544888759201902,s67.46726713325010394
022_3,s-1.22334197606581196,s-1.41597978986870610,s246.37062328156761737
022_4,s-1.10133325396094706,s-0.52068118912466099,s155.27146056334885316
022_5,s1.10148461239521600,s0.41017984626195603,s335.23245411060389642
022_6,s-0.44145833246963301,s0.10805866668152300,s148.08848428350347604
022_7,s-0.70370898900924705,s0.81597979734553705,s66.37062226875455906
022_8,s0.10490831218922500,s-1.00435883563039208,s306.03701570084587047
022_9,s-0.00218089407168300,s-0.11936130581342400,s298.86297569639310723
022_10,s-1.13953194130302604,s-0.25206227466156900,s328.08848427470491060
022_11,s1.11459721784792909,s0.06639112875090500,s156.94181428494644592
022_12,s0.63324263597697905,s-0.24176617478117701,s118.86297574197715221
022_13,s-1.10940912098076705,s0.34333254323939899,s20.78306392729066943
022_14,s1.11459722333554390,s-0.81028476216572798,s336.94181098341533698
022_15,s1.22334198311194209,s-1.41597978918947298,s113.62937636152490484
022_16,s0.26063683287902600,s0.51632973763199896,s247.46726629711147893
022_17,s-0.29634973236179102,s-1.32557079580812309,s20.50878252855877548
022_18,s0.62213757168101302,s0.81317343900031702,s292.45564636600033737
022_19,s0.85619759047197197,s-0.92243360294327803,s157.87849433948520073
022_20,s-0.57260940120588799,s0.59519419818573605,s248.54749679560234199
022_21,s-0.86549255635079703,s-1.13698992735076199,s340.59172273066786829
023_0,s1.18982307833047907,s0.22056354028193301,s103.46021673788970929
023_1,s0.94378132677728899,s-0.69448976855317301,s325.08022107609775730
023_2,s-0.69938893219307496,s0.89525617641832100,s218.56766771226511992
023_3,s-1.06508675097769201,s0.36128527457610499,s210.73455747783350489
023_4,s0.39153152996142798,s-1.51000120369644097,s55.60426768042469803
023_5,s0.48459007819275701,s-0.30071306033759099,s283.46021706231090320
023_6,s-0.46649501469603299,s-1.34655539098621801,s235.57598613350069172
023_7,s0.71402914897352898,s-0.99908104157166699,s91.94493656514384838
023_8,s1.18870780702393297,s0.79511917109360097,s114.55753802470655955
023_9,s-1.18097437114202908,s-1.00428083461457107,s159.15825538375383985
023_10,s0.66989393081632198,s-1.47580061803109097,s246.18678659510987927
023_11,s0.20015102173683699,s0.22482744893054199,s284.26273478596203859
023_12,s1.08079387685206507,s-0.99582617635700099,s203.49097548894087595
023_13,s-0.36860503837768899,s-0.05484523654091200,s30.73455820914790593
023_14,s-0.22896860602971900,s-0.71193156425579696,s265.79775583054424715
023_15,s-1.18982306977457397,s0.90016682202030496,s156.37062045687889622
023_16,s0.31560398041389898,s0.78097874748689899,s294.55683593928370101
023_17,s-0.06801480957456600,s-0.12155365125246199,s222.27100585390394372
023_18,s-0.46688607918598402,s-0.48587718004161601,s96.56941590703638667
023_19,s-0.77754969609971303,s-1.47815058286399403,s113.62937696386222797
023_20,s-0.10104584460140000,s0.91000120248041605,s182.82952272740430999
023_21,s-0.54331396800081200,s-1.09740984013672693,s52.07076025802831509
023_22,s-1.18982307833049594,s-0.14913194219922901,s156.37062100437037770
024_0,s-1.05956650619226789,s-0.64398935129545110,s34.98794578019162316
024_1,s-0.72499415850401061,s0.90045676635856287,s69.21965045839125708
024_2,s-1.23154433109599437,s0.21212023793392579,s214.98794580619778571
024_3,s0.43554447328248153,s0.93154859632848841,s124.76978462960475724
024_4,s-1.19015357004005851,s-0.94949978113045574,s159.64113724630431079
024_5,s-0.33132425097324691,s-1.53154859632340834,s357.96093645464196698
024_6,s1.07240089002000705,s0.39590227038985887,s335.38333994012555195
024_7,s1.23154433109193451,s-1.36227584890743625,s117.69497963566959697
024_8,s-0.33953699249829655,s0.24271889755175446,s269.73865635924670414
024_9,s0.73742121116531145,s0.40402563552458493,s83.04675259319029124
024_10,s1.12283403911901258,s-0.72753217722697949,s336.37062226908710727
024_11,s-0.76863668268417096,s-1.41343545347444222,s113.62937773200198421
024_12,s0.25442148788953933,s-1.52209097542262417,s332.42547970764786669
024_13,s0.25988136630099357,s-0.69646301772351549,s152.42547969876645197
024_14,s-0.71142013041553231,s0.51754091872889785,s173.81533140356319223
024_15,s-0.41569099046671221,s0.77146400070629106,s304.76978468350500862
024_16,s1.12527965327126123,s0.15114259815657757,s155.39088405400951842
024_17,s0.51217742790467213,s-0.58576710128232146,s335.87444648343796416
024_18,s0.90524666524773345,s-0.85064081925968227,s156.37062073033803244
024_19,s-1.19763470331171851,s0.49476249495407887,s23.62937813020020528
024_20,s-0.23178090104841118,s-0.64424890331449280,s31.18389982595078180
024_21,s0.71400064026162180,s0.89928833390716523,s294.23624998617867732
024_22,s-0.00107013181770492,s-0.26012822785578182,s293.36140671804685098
024_23,s-0.76139144461480479,s-0.99878155468775465,s350.17046908170789266
025_0,s-0.80020188960807515,s-1.41819030422103820,s243.59565388733520308
025_1,s0.04277102467052479,s-0.63990453459166630,s166.59964163260841019
025_2,s0.34045602692801374,s0.96354005270494958,s221.28422700540917845
025_3,s-0.50288892429281107,s-0.88419267104194321,s202.16928767319214444
025_4,s0.63918757561149431,s0.19677018533505222,s151.30946310579417968
025_5,s-0.43208533867515486,s-0.37880440663011977,s121.50701689138266204
025_6,s1.15070823435012004,s-0.00464964783279033,s203.63301677366021636
025_7,s0.00865774305188186,s0.95557399476993765,s66.37062093566949272
025_8,s1.18068166468140157,s0.27907900416524173,s36.12969087480468033
025_9,s-0.85992928487144971,s-1.08365473346828378,s63.96856961329581281
025_10,s-0.85311987792758592,s0.93943684365020563,s65.10288325683764299
025_11,s0.85919120210002520,s-0.36188067799353563,s111.66977035139431962
025_12,s-1.24915864368861596,s-1.56037929717705182,s19.65200994493702424
025_13,s-0.37944597582495371,s0.71681745202901448,s112.09594644256554830
025_14,s-1.22937686369544186,s-0.59234422247359020,s18.77621416991074099
025_15,s1.25811697236055586,s0.95557401215570792,s66.37062276621534807
025_16,s0.63653262045218206,s-0.83746896537495741,s170.10255994704240834
025_17,s-1.25811697262132305,s0.45702348495440448,s23.62937741608120490
025_18,s-0.86400462698291114,s-0.10665048140697649,s61.27441281351404712
025_19,s1.12120322268100758,s-1.12560977305621757,s2.65794704013264793
025_20,s1.10999452270833410,s-1.45329774385366783,s113.62937771700812561
025_21,s-0.07262981072091847,s0.52236385849184486,s262.82984696887916698
025_22,s0.14395490994971022,s-1.56354005245653549,s349.35441093329836804
025_23,s-0.24151437114677290,s0.12377982498248666,s69.31573877974989273
025_24,s-0.04889362948513054,s-0.34727185358571178,s331.30946461632146338
026_0,s1.23850504251178894,s0.14242661470603199,s203.62937800372674246
026_1,s-0.79954237567692299,s0.62536780712224105,s255.69620351346378584
026_2,s0.65136641047898602,s0.93864925627418905,s66.37062374791676689
026_3,s1.23620857306322107,s-1.64556159170760408,s337.32682115976194837
026_4,s0.75880049739816802,s0.65346716604226396,s248.85716472748879369
026_5,s0.00458233613033400,s-0.98019565683199095,s212.06259435081668130
026_6,s-0.20719772940512399,s-1.53836081527776991,s246.37062142618390226
026_7,s0.53158489546131105,s-0.10127661659263400,s309.50078769174820081
026_8,s-1.23850504251179006,s-0.67966671071914697,s156.37062189548882429
026_9,s-1.22786500378169205,s-1.59754049062405201,s341.18353420931714481
026_10,s0.43646911166282099,s0.38058594330776802,s33.56588434047096570
026_11,s-1.23850503374746301,s0.61147136907349198,s156.37062211939169742
026_12,s0.72326403708257103,s-0.56129481574706197,s105.07863713621688362
026_13,s-0.91461587163614499,s0.12266505920421999,s132.83093341050442859
026_14,s-0.39363841385632198,s-0.77607911624428005,s140.42326924123071308
026_15,s1.23850503680012403,s1.04601145249041094,s203.62937815788188800
026_16,s-0.87772466937834404,s-0.33320476101825303,s183.74103517783680672
026_17,s-0.73781194758769997,s-1.64601145249038305,s322.51280390031502066
026_18,s-0.29973897997560900,s-0.42044147573898999,s32.14582323440804146
026_19,s-0.03706552716716300,s0.13235006867708801,s75.69620234207911835
026_20,s-1.16575787322246405,s0.93864922243202198,s293.62937997459891903
026_21,s0.24002232275154400,s-0.17327713524163499,s148.55558434194631445
026_22,s0.77775278847705998,s-1.61829925032943289,s38.46597080196083596
026_23,s1.11703162077624296,s-1.09074047848385902,s84.51910144293735527
026_24,s1.21917328404056891,s-0.71227922267033805,s23.62937916242202618
026_25,s-0.35446253291056401,s1.03881113497881894,s219.04868763009974941
027_0,s1.34143625386434007,s-1.52916166709864898,s110.71066096405024837
027_1,s1.24406616634251010,s-0.29266458606512302,s203.62937470550969010
027_2,s0.48268484906503700,s-1.54003553882891997,s112.09686204913901975
027_3,s-0.40961485037107997,s-1.54445960359152590,s293.94872996710569168
027_4,s-0.03239896586920100,s-0.56958189620020605,s154.72139381882539055
027_5,s1.22848400280079995,s0.12481862999034100,s335.14669449416805946
027_6,s-1.24898874071186805,s-0.90369506031615798,s333.27549925004643683
027_7,s1.35142836495377194,s0.94445960347325297,s66.37062205874150322
027_8,s-0.70068355886426004,s-1.51176248604638408,s116.14509617528239005
027_9,s-0.76102772998568202,s-0.07384302702427301,s1.29848554374706304
027_10,s-0.65148953072570903,s0.91667251159693597,s264.59212399220245970
027_11,s-0.71372882521684899,s-1.17768642905833998,s7.32882359138034190
027_12,s-0.55109723506747799,s-0.27591016275625002,s187.32882543750429249
027_13,s0.46296726880971700,s-0.92763560667515599,s111.36349729020423638
027_14,s-1.26545025229654495,s0.25118407270425003,s328.76634671323904513
027_15,s-1.20496049635084090,s-0.03443553469330700,s153.27550646213512664
027_16,s-1.20495310177179493,s-1.14978810816481092,s153.27491394777553069
027_17,s0.52330786946686303,s0.31926567754092999,s59.18930644503126359
027_18,s0.32923205502166403,s-0.51029259191162901,s286.85947742647795167
027_19,s-0.39146037373667297,s0.52984813290514698,s231.07826246655918112
027_20,s0.89913666391024105,s0.06618722872150300,s106.85947719670610923
027_21,s0.80276003296224896,s-0.75351489330631305,s250.64095266374977200
027_22,s0.06479426082974600,s-0.23933752998714600,s51.07826246797139902
027_23,s-1.35142836495377194,s0.94445681208514398,s293.62959608222354291
027_24,s0.61690867731464605,s-1.32378101854641694,s290.64128384704895325
027_25,s0.91747996981988100,s0.48752620675343400,s20.03558578447598393
027_26,s0.41628824207390602,s0.94445960359172598,s66.37062228460820279
028_0,s0.18370533322438201,s-0.80107722334295695,s133.85698382790826599
028_1,s0.50230015237489500,s0.96133530764850805,s68.47136106787502285
028_2,s0.89154860763617605,s-1.53501062052769410,s241.66007470435829418
028_3,s-0.85104925224547101,s-1.18710235714941392,s296.50528308657351317
028_4,s1.05644208064018796,s-0.52753169606555195,s166.33849093238734440
028_5,s1.13780745724171806,s0.17730298955114299,s325.11873501128400221
028_6,s-0.75814831789135295,s-0.24226245633297899,s113.04204146319216306
028_7,s-0.66675586717133895,s-1.57005573032452905,s115.52602481662302125
028_8,s-0.52076070287979603,s-0.02499530609999100,s263.42124002764910529
028_9,s-0.28901131728772400,s1.00946412561790511,s127.55927072236522690
028_10,s-0.22114839198049099,s-0.54034163571857696,s116.50528308153627677
028_11,s0.55376572382960398,s-1.26553831233575398,s346.33849081623714028
028_12,s-1.27747498153600891,s0.50622558029112497,s20.17720685930510172
028_13,s1.27505923869832505,s-0.12368793730135200,s203.62937728160611073
028_14,s0.50013807145354905,s-1.59413752863455604,s113.62937668798906543
028_15,s-1.38242141106419791,s-0.88209186875565004,s294.44436456174946670
028_16,s0.43268801955751102,s0.10200101507385401,s79.07284499610614148
028_17,s0.15403810798545600,s0.63985953402155404,s113.47135797530813761
028_18,s-1.17443668026719306,s-1.24117776658840295,s147.35388936567528617
